admin1Name,admin1Pcode,admin2Name,admin2Pcode,Pop2016
Abia,NG001,Aba North,NG001001,138237
Abia,NG001,Aba South,NG001002,545102
Abia,NG001,Arochukwu,NG001003,218896
Abia,NG001,Bende,NG001004,247068
Abia,NG001,Ikwuano,NG001005,177468
Abia,NG001,Isiala-Ngwa North,NG001006,197712
Abia,NG001,Isiala-Ngwa South,NG001007,173313
Abia,NG001,Isiukwuato,NG001008,147180
Abia,NG001,Obi Ngwa,NG001009,233343
Abia,NG001,Ohafia,NG001010,315272
Abia,NG001,Osisioma Ngwa,NG001011,282462
Abia,NG001,Ugwunagbo,NG001012,106252
Abia,NG001,Ukwa East,NG001013,75704
Abia,NG001,Ukwa West,NG001014,113888
Abia,NG001,Umuahia North,NG001015,283784
Abia,NG001,Umuahia South,NG001016,178210
Abia,NG001,Umu-Nneochi,NG001017,210823
Adamawa,NG002,Demsa,NG002001,235871
Adamawa,NG002,Fufore,NG002002,271250
Adamawa,NG002,Ganye,NG002003,214719
Adamawa,NG002,Girei,NG002005,170108
Adamawa,NG002,Gombi,NG002004,191613
Adamawa,NG002,Guyuk,NG002006,232644
Adamawa,NG002,Hong,NG002007,221313
Adamawa,NG002,Jada,NG002008,220459
Adamawa,NG002,Lamurde,NG002009,147611
Adamawa,NG002,Madagali,NG002010,176431
Adamawa,NG002,Maiha,NG002011,145533
Adamawa,NG002,Mayo-Belwa,NG002012,200380
Adamawa,NG002,Michika,NG002013,203224
Adamawa,NG002,Mubi North,NG002014,197688
Adamawa,NG002,Mubi South,NG002015,168723
Adamawa,NG002,Numan,NG002016,118717
Adamawa,NG002,Shelleng,NG002017,195067
Adamawa,NG002,Song,NG002018,252158
Adamawa,NG002,Toungo,NG002019,68098
Adamawa,NG002,Yola North,NG002020,259420
Adamawa,NG002,Yola South,NG002021,254657
Akwa Ibom,NG003,Abak,NG003001,189947
Akwa Ibom,NG003,Eastern Obolo,NG003002,82680
Akwa Ibom,NG003,Eket,NG003003,235651
Akwa Ibom,NG003,Esit - Eket,NG003004,86993
Akwa Ibom,NG003,Essien Udim,NG003005,263116
Akwa Ibom,NG003,Etim Ekpo,NG003006,143963
Akwa Ibom,NG003,Etinan,NG003007,231182
Akwa Ibom,NG003,Ibeno,NG003008,102942
Akwa Ibom,NG003,Ibesikpo Asutan,NG003009,187231
Akwa Ibom,NG003,Ibiono Ibom,NG003010,258981
Akwa Ibom,NG003,Ika,NG003011,99609
Akwa Ibom,NG003,Ikono,NG003012,180134
Akwa Ibom,NG003,Ikot Abasi,NG003013,180296
Akwa Ibom,NG003,Ikot Ekpene,NG003014,195392
Akwa Ibom,NG003,Ini,NG003015,135466
Akwa Ibom,NG003,Itu,NG003016,173482
Akwa Ibom,NG003,Mbo,NG003017,142043
Akwa Ibom,NG003,Mkpat Enin,NG003018,243134
Akwa Ibom,NG003,Nsit Atai,NG003019,101870
Akwa Ibom,NG003,Nsit Ibom,NG003020,148324
Akwa Ibom,NG003,Nsit Ubium,NG003021,175118
Akwa Ibom,NG003,Obot Akara,NG003022,202499
Akwa Ibom,NG003,Okobo,NG003023,142105
Akwa Ibom,NG003,Onna,NG003024,168484
Akwa Ibom,NG003,Oron,NG003025,119441
Akwa Ibom,NG003,Oruk Anam,NG003026,235784
Akwa Ibom,NG003,Udung Uko,NG003027,72759
Akwa Ibom,NG003,Ukanafun,NG003028,173482
